anzsco_code,occupation,task_rank,task
1213,Livestock Farmers,6,"Directing and overseeing general farming activities such as maintaining pens, sheds and cages, fertilising, controlling pests and weeds, and growing fodder"
1213,Livestock Farmers,7,"Maintaining fences, equipment and water supply systems"
1213,Livestock Farmers,8,"Organising the sale, purchase and transportation of livestock and produce"
1213,Livestock Farmers,9,"Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly"
1213,Livestock Farmers,10,"Managing business capital including budgeting, taxation, debt and loan management"
1213,Livestock Farmers,11,"May select, train and supervise staff and contractors"
1214,Mixed Crop and Livestock Farmers,1,Planning and coordinating the production and marketing of crops and livestock
1214,Mixed Crop and Livestock Farmers,2,"Breeding and raising livestock for the production of meat, wool, skins, milk or eggs, and growing grain, seed crops, vegetables, fruit or nuts"
1214,Mixed Crop and Livestock Farmers,3,Monitoring and maintaining the health and condition of livestock
1214,Mixed Crop and Livestock Farmers,4,Providing pastures and fodder to maintain appropriate nutritional levels
1214,Mixed Crop and Livestock Farmers,5,"Selecting and purchasing seed for planting, planning and implementing breeding programs"
1214,Mixed Crop and Livestock Farmers,6,"Directing and overseeing general farming activities such as fertilising, and pest and weed control"
1214,Mixed Crop and Livestock Farmers,7,"Maintaining farm buildings, fences, equipment and water supply systems"
1214,Mixed Crop and Livestock Farmers,8,"Organising the sale, purchase and transportation of livestock and produce"
1214,Mixed Crop and Livestock Farmers,9,"Maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly"
1214,Mixed Crop and Livestock Farmers,10,"Managing business capital, monitoring market activity and planning production accordingly"
1214,Mixed Crop and Livestock Farmers,11,"May select, train and supervise staff and contractors"
1311,"Advertising, Public Relations and Sales Manager",1,"Formulating and implementing policies and plans for advertising, public relations, sales and marketing in consultation with other managers"
1311,"Advertising, Public Relations and Sales Manager",2,"Directing the development of initiatives for new products, marketing and advertising campaigns"
1311,"Advertising, Public Relations and Sales Manager",3,"Organising and controlling sales activities by setting product mix, geographical sales areas and customer service standards"
1311,"Advertising, Public Relations and Sales Manager",4,"Directing merchandising methods and distribution policy by coordinating the work of salespersons, and organising agents and distributors"
1311,"Advertising, Public Relations and Sales Manager",5,Directing sales methods and arrangements by setting prices and credit arrangements
1321,Corporate Services Managers,1,"Providing high level administrative, strategic planning and operational support, research and advice to senior management on administrative matters such as staff management, financial planning, facility management and information services"
1321,Corporate Services Managers,2,"Developing and managing the organisation's administrative, financial, physical and staff resources"
1321,Corporate Services Managers,3,"Developing and implementing administrative, financial and operational procedural statements and guidelines for use by staff in the organisation"
1321,Corporate Services Managers,4,"Analysing complex resource management issues and initiatives that affect the organisation, and preparing associated reports, correspondence and submissions"
1321,Corporate Services Managers,5,Providing information and support for the preparation of financial reports and budgets
1321,Corporate Services Managers,6,"Leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information"
1321,Corporate Services Managers,7,"Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums, and promoting existing and new programs and policies"
1322,Finance Managers,1,"Determining, implementing, monitoring, reviewing and evaluating budgetary and accounting strategies, policies and plans in consultation with other managers"
1322,Finance Managers,2,Providing financial information and interpreting the implications for business performance and funding needs
1322,Finance Managers,3,"Coordinating the development, implementation and monitoring of accounting systems"
1322,Finance Managers,4,"Directing the preparation of financial reports summarising and forecasting the organisation's financial position such as income statements, balance sheets and analyses of future earnings and income"
1322,Finance Managers,5,Assessing capital finance proposals and the financial status of operational projects
1322,Finance Managers,6,"Advising on investment strategies, sources of funds and the distribution of earnings"
1322,Finance Managers,7,"Delivering long range profit forecasts, budgeting and financial reporting"
1322,Finance Managers,8,Ensuring compliance with financial legislation and standards
1323,Human Resource Managers,1,"Determining, implementing, monitoring, reviewing and evaluating human resource management strategies, policies and plans to meet business needs"
1323,Human Resource Managers,2,"Advising and assisting other managers in applying sound recruitment and selection practices, and appropriate induction, training and development programs"
1323,Human Resource Managers,3,"Developing and implementing performance management systems to plan, appraise and improve individual and team performance"
1323,Human Resource Managers,4,Representing the organisation in negotiations with unions and employees to determine remuneration and other conditions of employment
1323,Human Resource Managers,5,"Developing and implementing occupational health and safety programs and equal employment opportunity programs, and ensuring compliance with related statutory requirements"
1323,Human Resource Managers,6,Overseeing the application of redundancy and other employee retrenchment policies
1323,Human Resource Managers,7,Monitoring employment costs and productivity levels
1323,Human Resource Managers,8,May train and advise other managers in personnel and workplace relations matters
1324,Policy and Planning Managers,1,"Developing, implementing and monitoring strategic plans, programs, policies, processes, systems and procedures to achieve goals, objectives and work standards"
1324,Policy and Planning Managers,2,"Developing, implementing, administering and participating in policy research and analysis"
1324,Policy and Planning Managers,3,Coordinating the implementation of policies and practices
1324,Policy and Planning Managers,4,Establishing activity measures and measurements of accountability
1324,Policy and Planning Managers,5,Overseeing and participating in the development of policy documents and reports
1324,Policy and Planning Managers,6,"Consulting with and providing expert advice to government officials and board members on policy, program and legislative issues"
1324,Policy and Planning Managers,7,"Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums convened to discuss policy issues"
1325,Research and Development Managers,1,"Determining, implementing and monitoring research and development strategies, policies and plans"
1325,Research and Development Managers,2,"Developing and implementing research projects, priorities and targets to support commercial and policy developments"
1325,Research and Development Managers,3,Leading major research projects and coordinating activities of other research workers
1325,Research and Development Managers,4,Assessing the benefits and monitoring the costs and effectiveness of research and development activities
1325,Research and Development Managers,5,Interpreting results of research projects and recommending associated product and service development innovations
1325,Research and Development Managers,6,Providing advice on research and development options available to the organisation
1325,Research and Development Managers,7,Monitoring leading-edge developments in relevant disciplines and assessing implications for the organisation
1325,Research and Development Managers,8,May publish results of significant research projects
1331,Construction Managers,1,Interpreting architectural drawings and specifications
1331,Construction Managers,2,"Coordinating labour resources, and procurement and delivery of materials, plant and equipment"
1331,Construction Managers,3,"Consulting with architects, engineering professionals and other professionals, and technical and trades workers"
1331,Construction Managers,4,"Negotiating with building owners, property developers and subcontractors involved in the construction process to ensure projects are completed on time and within budget"
1331,Construction Managers,5,Preparing tenders and contract bids
1331,Construction Managers,6,Operating and implementing coordinated work programs for sites
1331,Construction Managers,7,"Ensuring adherence to building legislation and standards of performance, quality, cost and safety"
1331,Construction Managers,8,Arranging submission of plans to local authorities
1331,Construction Managers,9,"Building under contract, or subcontracting specialised building services"
1331,Construction Managers,10,Overseeing the standard and progress of subcontractors' work
1331,Construction Managers,11,Arranging building inspections by local authorities
1332,Engineering Managers,1,"Determining, implementing and monitoring engineering strategies, policies and plans"
1332,Engineering Managers,2,"Interpreting plans, drawings and specifications, and providing advice on engineering methods and procedures to achieve construction and production requirements"
1332,Engineering Managers,3,Establishing project schedules and budgets
1332,Engineering Managers,4,"Ensuring conformity with specifications and plans, and with laws, regulations and safety standards"
1332,Engineering Managers,5,"Ensuring engineering standards of quality, cost, safety, timeliness and performance are observed"
1332,Engineering Managers,6,Overseeing maintenance requirements to optimise efficiency
1332,Engineering Managers,7,"Liaising with marketing, research and manufacturing managers regarding engineering aspects of new construction and product design"
1332,Engineering Managers,8,May contribute to research and development projects
1333,"Importers, Exporters and Wholesalers",1,Identifying local and overseas business opportunities
1333,"Importers, Exporters and Wholesalers",2,"Developing and implementing business plans, and marketing, operating, human resource, pricing and credit policies and procedures"
1333,"Importers, Exporters and Wholesalers",3,Determining the mix of products and services to be provided and negotiating conditions of trade
1333,"Importers, Exporters and Wholesalers",4,Liaising with local and overseas suppliers and distributors about orders and products
1333,"Importers, Exporters and Wholesalers",5,"Researching regulatory and statutory requirements affecting the importing, exporting, wholesaling and distribution of goods"
1333,"Importers, Exporters and Wholesalers",6,"Monitoring business performance and preparing estimates, financial statements and reports of operations"
1333,"Importers, Exporters and Wholesalers",7,Appointing agents and distributors
1333,"Importers, Exporters and Wholesalers",8,Arranging the shipping of goods into and out of the country
1333,"Importers, Exporters and Wholesalers",9,Overseeing the display and sale of merchandise and preparation of product information for customer service staff and customers
1333,"Importers, Exporters and Wholesalers",10,Implementing after-sales service procedures
1334,Manufacturers,1,"Identifying business opportunities, devising new manufacturing processes and determining products to be manufactured"
1334,Manufacturers,2,"Developing business plans and implementing operational, marketing, human resource and pricing procedures"
1334,Manufacturers,3,Researching and implementing regulatory and statutory requirements affecting manufacturing operations and the environment
1334,Manufacturers,4,"Directing the activities of production, warehouse, distribution and other operating units"
1334,Manufacturers,5,"Maintaining quality control systems for manufacturing, waste disposal, delivery and other procedures"
1334,Manufacturers,6,"Coordinating orders for raw materials, supplies and equipment, and arranging packaging, delivery and wholesaling of products"
1334,Manufacturers,7,Overseeing the coordination of after-sales service
1334,Manufacturers,8,Overseeing the provision of quotes for the manufacture of specialised goods and arranging contracts with customers
1334,Manufacturers,9,May devise and oversee the implementation of production run schedules
1335,Production Managers,1,"Determining, implementing and monitoring production strategies, policies and plans"
1335,Production Managers,2,"Planning details of production activities in terms of output quality and quantity, cost, time available and labour requirements"
1335,Production Managers,3,"Controlling the operation of production plant and quality procedures through planning of maintenance, designation of operating hours and supply of parts and tools"
1335,Production Managers,4,"Monitoring production output and costs, and adjusting processes and resources to minimise costs"
1335,Production Managers,5,Informing other managers about production matters
1335,Production Managers,6,Overseeing the acquisition and installation of new plant and equipment
1335,Production Managers,7,"Directing research into production methods, and recommending and implementing initiatives"
1335,Production Managers,8,Controlling the preparation of production records and reports
1335,Production Managers,9,Coordinating the implementation of occupational health and safety requirements
1335,Production Managers,10,Directing staff activities and monitoring their performance
1336,"Supply, Distribution and Procurement Managers",1,"Determining, implementing and monitoring purchasing, storage and distribution strategies, policies and plans"
1336,"Supply, Distribution and Procurement Managers",2,Preparing and implementing plans to maintain required stock levels at minimum cost
1336,"Supply, Distribution and Procurement Managers",3,"Negotiating contracts with suppliers to meet quality, cost and delivery requirements"
1336,"Supply, Distribution and Procurement Managers",4,Monitoring and reviewing storage and inventory systems to meet supply requirements and control stock levels
1336,"Supply, Distribution and Procurement Managers",5,"Operating recording systems to track all movements of supplies and finished goods, and ensuring re-ordering and re-stocking at optimal times"
1336,"Supply, Distribution and Procurement Managers",6,Liaising with other departments and customers concerning requirements for outward goods and associated forwarding transportation
1336,"Supply, Distribution and Procurement Managers",7,"Overseeing the recording of purchase, storage and distribution transactions"
1336,"Supply, Distribution and Procurement Managers",8,Directing staff activities and monitoring their performance
1341,Child Care Centre Managers,1,"Developing and implementing programs to enhance the physical, social, emotional and intellectual development of young children"
1341,Child Care Centre Managers,2,"Providing care for children in before-school, after-school, day, and vacation care centres"
1341,Child Care Centre Managers,3,Directing and supervising child carers in providing care and supervision for young children
1341,Child Care Centre Managers,4,"Ensuring the centre is a safe area for children, staff and visitors"
1341,Child Care Centre Managers,5,Complying with relevant government requirements and standards
1341,Child Care Centre Managers,6,Liaising with parents
1341,Child Care Centre Managers,7,Maintaining records and accounts for the centre
1341,Child Care Centre Managers,8,Recruiting staff and coordinating professional development
1342,Health and Welfare Services Managers,1,"Providing overall direction and management for the service, facility, organisation or centre"
1342,Health and Welfare Services Managers,2,"Developing, implementing and monitoring procedures, policies and standards for medical, nursing, allied health and administrative staff"
1342,Health and Welfare Services Managers,3,Coordinating and administering health and welfare programs and clinical services
1342,Health and Welfare Services Managers,4,"Monitoring and evaluating resources devoted to health, welfare, recreation, housing, employment, training and other community facilities and centres"
1342,Health and Welfare Services Managers,5,"Controlling administrative operations such as budget planning, report preparation, expenditure on supplies, equipment and services"
1342,Health and Welfare Services Managers,6,"Liaising with other health and welfare providers, boards and funding bodies to discuss areas of health and welfare service cooperation and coordination"
1342,Health and Welfare Services Managers,7,Advising government bodies about measures to improve health and welfare services and facilities
1342,Health and Welfare Services Managers,8,"Representing the organisation in negotiations, and at conventions, seminars, public hearings and forums"
1342,Health and Welfare Services Managers,9,"Controlling selection, training and supervision of staff"
1343,School Principals,1,Determining educational programs based on curricula set by educational authorities
1343,School Principals,2,Implementing systems and procedures to monitor school performance and student enrolments
1343,School Principals,3,Directing administrative and clerical activities concerning student admissions and educational services
1343,School Principals,4,Preparing school budgets and maintaining budgetary controls
1343,School Principals,5,"Promoting the educational program, and representing schools in the wider community"
1343,School Principals,6,Supervising the maintenance of school facilities
1343,School Principals,7,Enforcing a disciplinary code to create a safe and conducive environment for students and teachers
1343,School Principals,8,Organising and implementing methods of raising additional funds in conjunction with parent groups
1343,School Principals,9,"Controlling selection, training and supervision of staff"
1343,School Principals,10,May teach students
1344,Other Education Managers,1,"Coordinating the educational, administrative and financial affairs of an educational institution or department within the institution"
1344,Other Education Managers,2,"Researching, developing, implementing, reviewing and evaluating educational and administrative policy"
1344,Other Education Managers,3,"Liaising between educational institutions, parents and the wider community"
1344,Other Education Managers,4,Providing advice on policy and procedures to staff and students
1344,Other Education Managers,5,Consulting with academic and administrative staff to coordinate educational programs
1344,Other Education Managers,6,Identifying and addressing present and future needs for student and staff development
1344,Other Education Managers,7,Researching educational systems and monitoring and evaluating new developments
1344,Other Education Managers,8,Researching and reporting on students' needs arising from curriculum implementation
1344,Other Education Managers,9,Developing and delivering training programs for teachers
1351,ICT Managers,1,Analysing information needs and specifying technology to meet those needs
1351,ICT Managers,2,"Formulating and directing information and communication technology (ict) strategies, policies and plans"
1351,ICT Managers,3,Directing the selection and installation of ict resources and the provision of user training
1351,ICT Managers,4,"Directing ict operations and setting priorities between system developments, maintenance and operations"
1351,ICT Managers,5,Overseeing the security of ict systems
1391,Commissioned Officers (Management),1,Establishing administrative and operational procedures by taking account of the organisation's operating environment
1391,Commissioned Officers (Management),2,"Making policy decisions and accepting responsibility for operations, performance of staff, achievement of targets and adherence to budgets, standards and procedures"
1391,Commissioned Officers (Management),3,Establishing lines of control and delegating responsibilities to subordinate staff
1391,Commissioned Officers (Management),4,Representing the organisation in dealings with other organisations and the public
1391,Commissioned Officers (Management),5,Controlling the collection and interpretation of management information to monitor performance
1391,Commissioned Officers (Management),6,"Controlling the use of, and accounting for, the assets and facilities of the organisation"
1391,Commissioned Officers (Management),7,Preparing budgets and other management plans
1391,Commissioned Officers (Management),8,"Preparing reports, authorising the release of information, and handling public relations activities"
1392,Senior Non-Commissioned Defence Force Officers,1,Supervising a small group of subordinates
1392,Senior Non-Commissioned Defence Force Officers,2,Maintaining discipline of subordinates
1392,Senior Non-Commissioned Defence Force Officers,3,"Monitoring the morale, welfare and behaviour of subordinates, and advising commanding officers accordingly"
1392,Senior Non-Commissioned Defence Force Officers,4,"Instructing subordinates in dress, deportment, demeanour, behaviour, drill and devotion to duty to maintain military standards"
1392,Senior Non-Commissioned Defence Force Officers,5,Conducting military drills and inspections
1392,Senior Non-Commissioned Defence Force Officers,6,Teaching military traditions and customs
1399,Other Specialist Managers,1,"Plans, organises, directs, controls, coordinates and promotes artistic and cultural policies, programs, projects and services"
1399,Other Specialist Managers,2,"Plans, organises, directs, controls and coordinates the development and implementation of an environmental management system within an organisation by identifying, solving and alleviating environmental issues, such as pollution and waste treatment, in compliance with environmental legislation and to ensure corporate sustainable development."
1399,Other Specialist Managers,3,"Plans, organises, directs, controls and coordinates the operations of a research or production laboratory"
1399,Other Specialist Managers,4,"Plans, organises, directs, controls and coordinates the deployment of quality systems and certification processes within an organisation"
1399,Other Specialist Managers,5,"Plans, organises, directs, controls, coordinates and promotes sport and recreational activities, and develops related policies"
1411,Cafe and Restaurant Managers,1,Planning menus in consultation with chefs
1411,Cafe and Restaurant Managers,2,Planning and organising special functions
1411,Cafe and Restaurant Managers,3,Arranging the purchasing and pricing of goods according to budget
1411,Cafe and Restaurant Managers,4,Maintaining records of stock levels and financial transactions
1411,Cafe and Restaurant Managers,5,"Ensuring dining facilities comply with health regulations and are clean, functional and of suitable appearance"
1411,Cafe and Restaurant Managers,6,Conferring with customers to assess their satisfaction with meals and service
1411,Cafe and Restaurant Managers,7,"Selecting, training and supervising waiting and kitchen staff"
1411,Cafe and Restaurant Managers,8,"May take reservations, greet guests and assist in taking orders"
1412,Caravan Park and Camping Ground Managers,1,"Taking reservations, registering guests, assigning accommodation and collecting payments"
1412,Caravan Park and Camping Ground Managers,2,"Arranging cleaning and maintenance of caravans, cabins, amenities blocks, recreation facilities and grounds"
1412,Caravan Park and Camping Ground Managers,3,Informing guests of local tourist attractions and recreational facilities
1412,Caravan Park and Camping Ground Managers,4,Attending to complaints lodged by customers
1412,Caravan Park and Camping Ground Managers,5,"Liaising with local government to ensure compliance with laws, regulations and ordinances"
1412,Caravan Park and Camping Ground Managers,6,"May operate an on-site shop, cafe or restaurant for guests"
1412,Caravan Park and Camping Ground Managers,7,"May sign, supervise and enforce terms of tenancy agreements in accordance with legislation and may obtain enforcement orders where tenants are in breach of requirements"
1412,Caravan Park and Camping Ground Managers,8,May act as licensee for the purchase and sale of liquor
1413,Hotel and Motel Managers,1,"Directing and overseeing reservation, reception, room service and housekeeping activities"
1413,Hotel and Motel Managers,2,"Supervising security arrangements, and garden and property maintenance"
1413,Hotel and Motel Managers,3,"Planning and supervising bar, restaurant, function and conference activities"
1413,Hotel and Motel Managers,4,"Observing liquor, gaming, and other laws and regulations"
1413,Hotel and Motel Managers,5,Assessing and reviewing customer satisfaction
1413,Hotel and Motel Managers,6,Overseeing accounting and purchasing activities
1413,Hotel and Motel Managers,7,Ensuring compliance with occupational health and safety regulations
1413,Hotel and Motel Managers,8,"May provide guests with local tourism information, and arrange tours and transportation"
1414,Licensed Club Managers,1,"Planning and supervising bar, restaurant and function services"
1414,Licensed Club Managers,2,"Planning, booking and supervising sporting, gaming and entertainment activities"
1414,Licensed Club Managers,3,Supervising security arrangements and property maintenance
1414,Licensed Club Managers,4,Arranging member subscriptions
1414,Licensed Club Managers,5,"Observing liquor, gaming, health and other laws and regulations"
1414,Licensed Club Managers,6,Ensuring compliance with occupational health and safety regulations
1414,Licensed Club Managers,7,Compiling and organising distribution of newsletters and other information to keep members informed of forthcoming events and facilities available
1414,Licensed Club Managers,8,Assessing and reviewing member satisfaction and preferences
1414,Licensed Club Managers,9,Liaising with community groups sponsored and assisted by the club
1414,Licensed Club Managers,10,"Selecting, training and supervising staff"
1419,Other Accommodation and Hospitality Managers,1,"Organises and controls the operations of a bed and breakfast to provide a short term, highly personalised accommodation and leisure service for guests including breakfast ensures guests' needs, wants and comfort are satisfied during their stay. registration or licensing may be required."
1421,Retail Managers,1,"Determining product mix, stock levels and service standards"
1421,Retail Managers,2,"Formulating and implementing purchasing and marketing policies, and setting prices"
1421,Retail Managers,3,Promoting and advertising the establishment's goods and services
1421,Retail Managers,4,Selling goods and services to customers and advising them on product use
1421,Retail Managers,5,Maintaining records of stock levels and financial transactions
1421,Retail Managers,6,Undertaking budgeting for the establishment
1421,Retail Managers,7,"Controlling selection, training and supervision of staff"
1421,Retail Managers,8,Ensuring compliance with occupational health and safety regulations
1491,"Amusement, Fitness and Sports Centre Managers",1,"Planning and organising the range and mix of entertainment, attractions, amusement machines and fitness programs to be offered by the centre"
1491,"Amusement, Fitness and Sports Centre Managers",2,Organising publicity to promote facilities and attract clients
1491,"Amusement, Fitness and Sports Centre Managers",3,Scheduling games and competitions
1491,"Amusement, Fitness and Sports Centre Managers",4,"Selecting, training and supervising staff"
1491,"Amusement, Fitness and Sports Centre Managers",5,Ensuring facilities are properly maintained and conform to safety standards
1491,"Amusement, Fitness and Sports Centre Managers",6,"May undertake coaching, fitness instruction and training of clients"
1491,"Amusement, Fitness and Sports Centre Managers",7,May plan and organise catering facilities
1492,"Call, Contact Centre and Customer Service Managers",1,"Developing and reviewing policies, programs and procedures concerning customer relations and goods and services provided"
1492,"Call, Contact Centre and Customer Service Managers",2,Ensuring operational efficiency within a call centre
1492,"Call, Contact Centre and Customer Service Managers",3,Providing direction and feedback to team members and assisting with recruitment
1492,"Call, Contact Centre and Customer Service Managers",4,"Managing, motivating and developing staff providing customer services"
1492,"Call, Contact Centre and Customer Service Managers",5,"Planning and implementing after-sales services to follow up customer satisfaction, ensure performance of goods purchased, and modify and improve services provided"
1492,"Call, Contact Centre and Customer Service Managers",6,"Liaising with other organisational units, service agents and customers to identify and respond to customer expectations"
1492,"Call, Contact Centre and Customer Service Managers",7,May work in a call centre
1493,Conference and Event Organisers,1,"Promoting conferences, conventions and trade shows to potential customers"
1493,Conference and Event Organisers,2,"Responding to inquiries concerning services provided and costs for room and equipment hire, catering and related services"
1493,Conference and Event Organisers,3,Meeting with clients to discuss their needs and outlining package options to meet these needs
1493,Conference and Event Organisers,4,"Arranging and coordinating services, such as conference facilities, catering, signage, displays, audiovisual equipment, accommodation, transport and social events, for participants"
1493,Conference and Event Organisers,5,Organising registration of participants
1493,Conference and Event Organisers,6,Negotiating the type and costs of services to be provided within budget
1493,Conference and Event Organisers,7,Overseeing work by contractors and reporting on variations to work orders
1494,Transport Services Managers,1,"Organising the purchase and maintenance of transport vehicles, equipment and fuel"
1494,Transport Services Managers,2,"Liaising with clients to determine requirements and providing customers with advice and information regarding vehicle type, purchase or hire rates and obligations and handling complaints"
1494,Transport Services Managers,3,"Receiving orders and bookings, and planning and implementing transportation schedules"
1494,Transport Services Managers,4,Ensuring goods are stored and transported in conditions that will maintain their quality
1494,Transport Services Managers,5,Arranging collection and delivery of vehicles and goods
1494,Transport Services Managers,6,Maintaining business records and preparing operational statements and reports
1494,Transport Services Managers,7,"Coordinating activities associated with the arrival, departure, loading and unloading of trains"
1494,Transport Services Managers,8,Ensuring compliance with occupational health and safety regulations
1499,"Other Hospitality, Retail and Service Managers",1,Organises and controls the operations of an establishment which offers temporary boarding for dogs and cats
1499,"Other Hospitality, Retail and Service Managers",2,Organises and controls the operations of a cinema or theatre registration or licensing may be required
1499,"Other Hospitality, Retail and Service Managers",3,"Organises, controls and coordinates the strategic and operational management of facilities in a public or private organisation"
1499,"Other Hospitality, Retail and Service Managers",4,"Organises and controls the general operational activities of a branch of a bank, building society, credit union or similar financial institution"
2111,"Actors, Dancers and Other Entertainers",1,"Reading scripts and undertaking research to gain understanding of parts, themes and characterisations"
2111,"Actors, Dancers and Other Entertainers",2,"Learning lines and cues, rehearsing parts, and applying vocal and movement skills to the development of characterisation"
2111,"Actors, Dancers and Other Entertainers",3,Preparing for performances through rehearsals under the instruction and guidance of production directors
2111,"Actors, Dancers and Other Entertainers",4,"Acting parts and portraying roles as developed in rehearsals in film, television, radio and stage productions"
2111,"Actors, Dancers and Other Entertainers",5,Practising dance routines and interpreting the choreographic content of the production
2111,"Actors, Dancers and Other Entertainers",6,"Performing dances for audience entertainment, coordinating body movements and facial expression, usually with musical accompaniment"
2111,"Actors, Dancers and Other Entertainers",7,Composing and notating ballet compositions and other dance routines
2111,"Actors, Dancers and Other Entertainers",8,Creating and performing individual performance routines
2111,"Actors, Dancers and Other Entertainers",9,"Rehearsing, auditioning and travelling between entertainment venues"
2112,Music Professionals,1,"Creating melodic, harmonic and rhythmic structures to express ideas and emotions in musical form"
2112,Music Professionals,2,Translating ideas and concepts into standard musical signs and symbols for reproduction and performance
2112,Music Professionals,3,"Undertaking research and liaising with clients when composing musical backing for television commercials, popular recordings, and radio, television and film productions"
2112,Music Professionals,4,Auditioning and selecting musicians and singers
2112,Music Professionals,5,Selecting music for performances and assigning instrumental parts to musicians
2112,Music Professionals,6,"Directing musical groups at rehearsals and performances to achieve desired effects such as tonal and harmonic balance, rhythm and tempo"
2112,Music Professionals,7,Studying and rehearsing repertoire and musical scores prior to performances
