osca_code,occupation,alternative_titles,specialisations,lead_statement,registration_or_licensing,skill_level,main_tasks,mapped_anzsco_codes,mapped_anzsco_titles,mapping_types,qualification_count
113231,ICT Operations Manager,Application Support Manager; ICT Support Manager,,"Oversees daily operations of ICT systems and infrastructure in an organisation. Ensures the availability and reliability of servers, networks, hardware and software systems, optimises performance, and coordinates ICT maintenance and upgrades.",,1,"Oversees the design, implementation and maintenance of ICT infrastructure to ensure optimal performance and reliability; Develops and enforces ICT policies, procedures and standards for efficient operations; Monitors and analyses system performance, and recommends and implements enhancements as required; Implements disaster recovery and business continuity plans to ensure that critical ICT systems can be quickly restored in case of a disaster or system failure",135199,ICT Managers nec,full,2
113232,ICT Project Manager,ICT Program Manager,ICT Security Project Manager,"Plans, organises, directs, controls and coordinates quality accredited ICT projects. Accountable for day-to-day operations of resourcing, scheduling, prioritisation and task coordination, and meeting project milestones, objectives and deliverables within agreed timeframes and budgets.",,1,"Manages the entire lifecycle of ICT projects, including initiation, planning, execution, monitoring and closure; Manages the selection, implementation and integration of new technology solutions into ICT projects; Creates detailed project plans to outline deliverables, timelines, resource allocation and budgeting specific to ICT projects; Identifies, analyses and manages risks associated with ICT projects to ensure smooth execution and delivery; Implements and maintains quality assurance processes to ensure that ICT projects meet specified standards and requirements; Manages multidisciplinary teams of various ICT professionals to ensure efficient project execution",135112,ICT Project Manager,full,9
113233,ICT Service Delivery Manager,ICT Service Manager; ICT Service Owner,ICT Service Desk Manager,Manages and coordinates the effective delivery of ICT services within an organisation in accordance with predefined service level agreements.,,1,"Manages end-to-end ICT service delivery, ensuring adherence to agreed service levels and customer satisfaction; Develops and oversees an effective communication infrastructure for incident management response and resolution; Monitors service metrics to ensure performance and quality standards; May manage relationships with external vendors, negotiate contracts and monitor services",135199,ICT Managers nec,full,3
113299,ICT Managers nec,,,This occupation group covers ICT Managers not elsewhere classified.,,1,,135199,ICT Managers nec,full,3
121131,Chief Executive or Managing Director,Chief Executive Officer,Director-General; Executive Director; Secretary (Government Department),"Determines, formulates and reviews the general policy program and the overall direction of an organisation within the framework established by a board of directors or similar governing body.",,1,"Determines objectives, strategies, policies and programs for organisations; Provides overall direction and management to organisations; Authorises material, human and financial resources to implement organisational policies and programs; Monitors and evaluates performance of the organisation against organisational objectives and strategies; Consults with senior staff and reviews recommendations and reports; Approves and presents reports, budgets and forecasts to major stakeholders, such as governing bodies and boards of directors; Represents the organisation at official events, in negotiations, at conventions, seminars, public hearings and forums; Selects or approves the selection of senior staff",111111,Chief Executive or Managing Director,full,4
121231,Corporate General Manager,Chief Operating Officer,Assistant Commissioner (Police); Hospital Administrator; Hotel General Manager; Managing Editor; Trade Union Secretary,"Plans, organises, directs, controls and reviews the day-to-day operations and major functions of a commercial, industrial, governmental or other organisation through departmental managers and subordinate executives.",,1,"Plans policies and sets standards and objectives for organisations; Provides day-to-day direction and management of organisations; Directs and endorses policies to fulfil objectives, achieve specific goals, and maximise profit and/or efficiency; Consults and liaises with departmental heads on matters such as finance, sales and human resources; Implements and oversees organisational policies and programs; Selects senior staff and manages their performance; Ensures and encourages compliance with organisational policies and protocols, and relevant legislation; Represents the organisation at official occasions, in negotiations, at conventions, seminars, public hearings and forums; May prepare or arrange for the preparation of reports, budgets and forecasts",111211,Corporate General Manager,full,8
121232,Defence Force Senior Officer,,,"Plans, organises, directs, controls and reviews the strategic direction, day-to-day operations, and major functions of organisational units of the Australian Defence Force through subordinate officers.",,1,"Provides strategic direction and management, and develops operational plans for the Defence Force; Consults with other senior officers and directs subordinate officers to organise and coordinate the deployment of personnel and resources for Defence Force operations; Assesses situations, reviews recommendations and reports, and responds accordingly by issuing commands and directives to subordinate officers; Reviews and evaluates the performance of subordinate officers and Defence Force units, and directs and oversees the training and development of personnel; Decides or approves Defence Force appointments; Represents the Defence Force at negotiations and official events or engagements, and liaises with external stakeholders",111212,Defence Force Senior Officer,full,1
121331,Local Government Legislator,Alderman; Councillor,Mayor,Represents the interests of people in a constituency as their elected member of a local government authority.,,1,"Develops local government policy, and formulates, amends and repeals legislation and by-laws; Represents the interests of constituents and advocates for their needs and concerns; Introduces proposals for government action and represents public and electoral interests; Issues policy directions to local government departments and exercises control over local government authorities; Collaborates with officials to develop and implement policies and programs; Attends community events and meetings to provide service to the community, gauge public opinion, and provide information on local government plans; May present petitions on behalf of concerned groups",111311,Local Government Legislator,full,1
121332,Member of Parliament,Parliamentarian,Chief Minister; Government Minister; Member of the Legislative Assembly; Member of the Legislative Council; Premier; Prime Minister; Senator,"Represents the interests of people in a constituency as their elected member to national, state or territory parliament.",,1,Represents constituents in parliament; Attends and participates in parliamentary sessions; Votes on legislation and policies; Researches and analyses issues; Meets with constituents; Advocates for constituents in committees; Collaborates with other members on legislation; Represents political party or coalition; Engages in public communication; Stays informed on current events,111312,Member of Parliament,full,0
121399,Legislators nec,,,This occupation group covers Legislators not elsewhere classified.,,1,,111399,Legislators nec,full,0
131131,Construction Project Manager,Building and Construction Manager,Shipbuilding Program Manager,"Plans, organises, directs, controls and coordinates construction of engineering and building projects, and all resources involved in the construction process.",Registration or licensing may be required.,1,"Plans, organises and manages large-scale commercial and civil construction project objectives, budgets and schedules; Assesses and interprets architectural drawings and technical specifications, and determines appropriate construction methods to use; Develops tenders and contract bids, and negotiates with stakeholders throughout the construction process and project lifecycle; Leads the coordination and prioritisation of resources, including human resources, materials, plant and equipment, across large-scale commercial and civil construction projects; Consults with clients, Architects, Civil Engineering Professionals, Contract Administrators, Quantity Surveyors, site managers and other personnel to plan and manage the construction process; Manages and monitors adherence to legislation and standards of performance and safety; Leads and manages human resources, including subcontractors, to progress and deliver construction projects; Establishes and manages project plans to ensure alignment with strategic goals and project outcomes; Manages change and implementation of construction projects",133111,Construction Project Manager,full,12
131231,Engineering Manager,,Infrastructure Asset Manager,"Plans, organises, directs, controls and coordinates the engineering and technical operations of an organisation. Oversees teams of engineers, related professionals and support personnel to deliver engineering projects in a range of industries and engineering disciplines.",Registration or licensing may be required.,1,"Determines, implements and monitors engineering strategies, policies, plans and technical operations, while ensuring compliance with laws, regulations and safety standards; Manages and assigns tasks to engineering teams and oversees their schedules, activities and budgets; Monitors and evaluates the performance of engineering teams and individuals; Provides guidance on all technical issues related to engineering projects and requests advice from specialist engineers when required; Oversees, plans, controls and evaluates engineering projects, and instructs engineering teams throughout the project's operation; Collaborates with other departments, represents the organisation in engineering related matters, and liaises with stakeholders to achieve organisational goals",133211,Engineering Manager,full,9
131331,Project Builder,Professional Builder,,"Plans, organises, directs, controls and coordinates the construction, alteration and renovation of dwellings and other buildings, and the physical and human resources involved in the building process.",Registration or licensing is required.,1,"Plans, organises and manages commercial and residential building, alteration or renovation project objectives, budgets and schedules; Assesses and interprets architectural drawings, building plans and technical specifications, and determines appropriate construction methods to use; Develops quotes and negotiates with clients throughout the construction process; Manages the submission of building plans to local authorities and arranges building inspections; Coordinates and prioritises resources, including subcontractors, materials and equipment, across commercial and residential building projects; Consults with clients, Architects, Civil Engineering Professionals, Property Developers, Building Designers and construction trades workers to plan and manage the building, alteration or renovation process; Schedules subcontractors, monitors the building, alteration or renovation process, and ensures work adheres to building standards and regulatory and client requirements; Manages and monitors adherence to work health and safety requirements; Identifies and resolves issues or delays in the building, alteration or renovation process",133112,Project Builder,full,7
131431,Property Developer,Property Development Manager,,"Purchases dwellings and land and enhances them to increase their value for resale. Works with Professionals and Technicians and Trades Workers to design, obtain approvals for, build and sell properties for profit.",Registration or licensing may be required.,1,"Identifies and purchases profitable real estate opportunities; Works with Architects, builders, and other Professionals to design and plan property developments; Obtains necessary building approvals and permits from local councils and other regulatory bodies; Monitors the progress of the renovation or development of dwellings and land, and manages related budgets and finances; Monitors market trends and property values to determine optimal selling times, and markets and sells developed properties to potential buyers",224511,Land Economist,full,4
131931,Surveying Manager,,Construction Surveying Manager,"Plans, manages and coordinates land, mine or engineering surveying operations to ensure accurate data collection for mapping, design and construction.",,1,"Plans, develops and manages surveying operations, including determining project scope, scheduling, budget and resources; Develops, improves and directs the preparation of surveying plans, reports, maps and data visualisations; Directs and supervises the work of surveying teams, and provides surveying support and guidance; Implements quality assurance processes to ensure surveying data collection is accurate and meets regulatory and client requirements; Ensures surveying teams and other site personnel adhere to safety protocols and guidelines during fieldwork; May collaborate with engineers, construction workers and other Professionals and technicians to integrate surveying data into the construction process",139999,Specialist Managers nec,full,4
131999,Construction and Engineering Managers nec,,,This occupation group covers Construction and Engineering Managers not elsewhere classified.,,1,,139999,Specialist Managers nec,full,2
132131,Manufacturer,,,"Plans, organises, directs, controls and coordinates the operations of a manufacturing establishment.",,1,"Identifies business opportunities, devises new manufacturing processes, and determines products to be manufactured; Develops business plans and implements operational, marketing and pricing decisions; Manages and oversees the allocation of resources, including materials, equipment and personnel; Directs the activities of production, warehousing, distribution and other operating units; Researches and implements regulatory and statutory requirements; Oversees quality control systems for manufacturing, waste disposal, delivery and other procedures; Coordinates orders for raw materials, supplies and equipment, and arranges packaging, delivery and wholesaling of products; Oversees the provision of quotes for the manufacture of goods and arranges contracts with customers; May devise and oversee the implementation of production run schedules",133411,Manufacturer,full,5
132231,Forest Manager,,Harvest Manager (Forestry); Operations Manager (Forestry),"Plans, organises, directs, controls and coordinates the production activities of a forestry operation, including physical and human resources.",,1,"Plans and implements strategies for the production activities of a forestry operation, such as harvesting, reforestation, road building and maintenance, fire management, weed and pest control, and conservation and recreational activities; Ensures forestry production processes comply with legislative and policy requirements, including safety and environmental regulations; Monitors and evaluates the performance of forestry production activities, and develops and implements procedures and policies to improve forestry production processes; Prepares or oversees reports and budgets related to forestry production activities; Informs other forestry managers or stakeholders such as state departments and local authorities about forestry production matters; Oversees the acquisition and installation of forestry equipment and machinery",133511,Production Manager (Forestry),full,2
132232,Production Manager (Manufacturing),,Clothing or Textile Production Manager; Operations Manager (Production); Paper and Pulp Production Manager; Plant Manager (Manufacturing); Timber Production Manager; Works Manager (Manufacturing),"Plans, organises, directs, controls and coordinates the production activities of a manufacturing operation including physical, technological and human resources.",,1,"Plans and develops manufacturing production or operational strategies, systems, processes, objectives and policies; Directs and supervises manufacturing operations by monitoring and coordinating production schedules and resources; Controls the operation of manufacturing plants or procedures through the planning of maintenance, designation of operating hours, and supply of parts and tools; Analyses production data on logistics, cost, margins, production lead time and personnel; Identifies areas for improvement and implements quality control procedures; Liaises with internal and external stakeholders, and works alongside senior management to establish budgets and targets",133512; 149999,"Production Manager (Manufacturing); Hospitality, Retail and Service Managers nec",partial,11
132233,Production Manager (Mining),Mine Manager; Mine Superintendent,Offshore Installation Manager (Mining); Quarry Manager (Open Pit Mining); Underground Mining Manager,"Plans, organises, directs, controls and coordinates the production activities of a mining operation, including physical and human resources.",,1,"Plans and develops strategies for the production activities of a mining operation, and organises and coordinates the allocation of physical and human resources; Directs and controls the implementation of production plans and schedules; Monitors and evaluates the performance of mining production activities; Develops and implements quality control measures for mining production, and ensures compliance with safety and environmental regulations; May oversee short-term mine design activities",133513,Production Manager (Mining),full,16
133131,Importer or Exporter,,,"Plans, organises, directs, controls and coordinates the operations of an importing or exporting establishment.",,1,"Develops and implements strategies for importing or exporting operations; Oversees the day-to-day operations of importing or exporting activities; Establishes and maintains relationships with suppliers, customers and other stakeholders; Negotiates contracts and agreements with suppliers and customers; Manages the logistics and transportation of goods; Ensures compliance with customs regulations and international trade laws, and reviews import and export documentation",133311,Importer or Exporter,full,3
133132,Wholesaler,,,"Plans, organises, directs, controls and coordinates the operations of a wholesale trading establishment.",,1,"Develops and implements strategies to achieve sales targets and increase market share; Monitors market trends and competitor activity to identify opportunities and threats; Determines pricing and discount structures for products; Oversees the selection and purchase of stock to ensure adequate inventory levels; Maintains supplier relationships and negotiates contracts; Develops and implements marketing and promotional activities to increase sales; Manages the storage and distribution of goods to customers; Prepares and presents reports on sales, financial performance and market trends to senior management",133312,Wholesaler,full,4
133231,Procurement Manager,Purchasing Manager,Procurement Category Manager,"Plans, organises, directs, controls and coordinates the procurement and purchasing of materials, products and services for an organisation.",,1,"Prepares and implements plans to maintain required stock levels at minimum cost; Negotiates prices and contracts with suppliers to meet quality, cost and delivery requirements; Participates in the development of specifications for equipment, products or substitute materials; Researches and identifies new products and suppliers; Arranges quality checks of incoming goods and ensures suppliers deliver on time; Directs staff activities and monitors their performance; Provides products and services to meet customer or client requirements",133612,Procurement Manager,full,8
133331,Supply and Distribution Manager,,Agricultural Goods Logistics Manager; Logistics Manager; Logistics Officer (Air Force); Ordnance Corps Officer (Army); Supply Chain Manager; Supply Officer (Navy); Transport Corps Officer (Army),"Plans, organises, directs, controls and coordinates the supply, storage and distribution of goods produced by an organisation.",,1,"Determines, implements and monitors strategies, policies and plans for purchasing, storing and distributing goods; Monitors inventory systems to meet supply requirements and control stock levels; Tracks movements of supplies and goods; Liaises with other departments and customers regarding outward goods and transportation; Oversees the recording of purchase, storage and distribution transactions",133611,Supply and Distribution Manager,full,9
141131,Assistant School Principal,Deputy School Principal,,"Plans, organises and supports the educational and administrative aspects of schools, including physical and human resources.",Registration or licensing is required.,1,"Maintains a respectful, safe and productive learning environment for students and teachers; Ensures appropriate allocation of staff to teaching programs, including the engagement of casual relief teachers; Prepares and supervises class timetables; Supervises and coordinates the work of senior curriculum or year level coordinators; Mentors staff in the development, implementation and assessment of learning programs; Manages the development, implementation and review of specific school policies, programs and operations; Implements systems and procedures to monitor and report on a school's performance; Provides support to School Principals when required; May teach students",134311,School Principal,full,1
141132,School Principal,,,"Plans, organises, directs, controls and coordinates the educational and administrative aspects of schools, including physical and human resources.",Registration or licensing is required.,1,"Establishes and maintains organisational structures that support the achievement of a school's vision and values; Ensures the delivery of comprehensive education programs to all students; Ensures a respectful, safe and productive learning environment for students and teachers; Implements systems and procedures to monitor and report on a school's performance; Develops and maintains positive relationships with all members of the school community; Implements initiatives, practices and priorities of relevant education authorities; Contributes to the development, implementation and review of school policies, programs and operations; Manages the selection, professional development and assessment of staff members; Ensures efficient and effective operations, including the management of finance, people, facilities, risk, compliance and major projects; May teach students",134311,School Principal,full,0
141231,Children's Education and Care Service Director,Early Childhood Education and Care Service Manager,Out of School Hours Care Coordinator; Preschool Director,"Plans, organises, directs, controls and coordinates the activities of a regulated children's education and care service, including physical and human resources.",,1,"Leads the design, planning, implementation and evaluation of educational programs and practices based on an approved learning framework; Manages the recruitment of staff and coordinates professional development; Liaises and works in partnership with families, community members and external agencies to promote the health, safety and wellbeing of children; Manages the financial resources for the regulated children's education and care service; Maintains service records and documentation; Directs and supervises educators, staff and visitors; Develops policies to ensure the service complies with national and/or state-based legislation and the approved learning frameworks; Leads the day-to-day operational requirements of the service in accordance with national or state legislation and regulatory requirements",134111; 241111,Child Care Centre Manager; Early Childhood (Pre-primary School) Teacher,partial,2
141331,Aged Care Manager,Aged Care Director; Aged Care Operations Manager,,"Plans, organises, directs, controls and coordinates the day-to-day operations and clinical services in community and aged care homes.",Registration or licensing may be required.,1,"Manages and oversees the operational management of home care and aged care home services; Controls administrative operations such as budget planning, report preparation and expenditure on supplies, equipment and services; Develops and oversees care programs of community and aged care facilities; Monitors adherence to policies, compliance, quality of care and clinical outcomes in aged care",134212; 134299; 254311,Nursing Clinical Director; Health and Welfare Services Managers nec; Nurse Manager,partial,3
141332,Director of Nursing / Midwifery,,Assistant Director of Nursing; Deputy Director of Nursing,"Plans, organises, directs, controls and coordinates nursing/midwifery programs and clinical services in a hospital or other health service facility.",Registration or licensing is required.,1,"Provides overall direction and management of nursing/midwifery programs and clinical services in a hospital or other health care facility; Develops, implements and monitors procedures, policies and standards of nursing/midwifery care, and contributes to health service planning, ensuring compliance with relevant regulations; Provides leadership, mentorship, guidance, education and training to nursing and midwifery staff to ensure an appropriately skilled workforce; Collaborates with other Health Professionals to ensure coordinated and integrated patient care; Participates in research and quality improvement activities to improve patient outcomes; Recruits and rosters nursing/midwifery staff to meet the needs of the facility or unit",134212,Nursing Clinical Director,full,0
141333,Medical Administrator,Medical Manager,Director of Clinical Services; Director of Medical Services,"Plans, organises, directs, controls and coordinates medical programs and clinical services in a hospital or other health service facility, maintains standards of medical care, provides leadership to ensure an appropriately skilled medical workforce, and contributes to health service planning.",,1,"Determines objectives, strategies and policies for medical programs and clinical services in a hospital or other health service facility; Provides overall direction and management of medical programs and clinical services to ensure efficient health care delivery; Authorises material, human and financial resources to implement medical policies and programs; Monitors and evaluates performance of medical programs and clinical services against objectives and strategies; Prepares and arranges reports, budgets and forecasts for medical programs and clinical services",134211,Medical Administrator / Medical Superintendent,full,2
141334,Paramedic Manager,,,"Plans, organises, directs, controls and coordinates the day-to-day operations and clinical response to medical emergencies in the out-of-hospital environment.",Registration or licensing is required.,1,"Manages and oversees the operational management of medical out-of-hospital emergencies; Organises and coordinates the deployment of Paramedic teams to emergency situations; Directs and supervises Paramedics in the provision of emergency medical care; Provides guidance and support to Paramedics in complex or critical situations; Controls administrative operations such as budget planning, report preparation and expenditure on supplies, equipment and services; Monitors adherence to policies, compliance, quality of care and clinical outcomes; Liaises with other emergency services and health care providers; Controls selection, training and supervision of staff; Participates in the development and implementation of emergency response protocols",134299,Health and Welfare Services Managers nec,full,1
141335,Welfare Centre Manager,,,"Plans, organises, directs, controls and coordinates a centre, program or project concerned with social welfare support.",,1,"Provides overall direction and management for a service, facility, organisation or centre; Devises and establishes projects for services such as health care, housing, employment, education and training, and culture and recreation, based on clients' needs; Monitors and evaluates resources devoted to health, welfare, recreation, housing, employment, training and other community facilities and centres; Controls administrative operations such as budget planning, report preparation and expenditure on supplies, equipment and services for a welfare centre; Liaises with community and Social Workers to determine what services are required by clients; Coordinates programs, activities and welfare services to contribute to maintaining a positive and healthy community, and reflect the educational, recreational, sporting and leisure activity needs of individuals",134214,Welfare Centre Manager,full,2
141399,Health and Welfare Service Managers nec,,,This occupation group covers Health and Welfare Service Managers not elsewhere classified.,,1,,134213; 134299,Primary Health Organisation Manager; Health and Welfare Services Managers nec,partial,2
141431,Faculty Manager,,Academic Manager (RTO); Dean (University); Head Teacher (TAFE),"Plans, organises, directs, controls and coordinates the educational and administrative aspects of a department, faculty or school within a university, other tertiary education institution or registered training organisation (RTO).",,1,"Coordinates the educational, administrative and financial affairs of an educational institution or department within the institution; Researches, develops, implements, reviews and evaluates educational and administrative policy; Liaises between educational institutions, stakeholders and the wider community; Provides advice on policy and procedures to staff and students; Consults with academic and administrative staff to coordinate educational programs; Identifies and addresses present and future needs for student and staff development; Researches educational systems, and monitors and evaluates new developments; Researches and reports on student needs arising from curriculum implementation; Develops and delivers training programs for teachers",134411,Faculty Head,full,1
141432,Regional Education Manager,,,"Plans, organises, directs, controls and coordinates educational approaches and policy, and curriculum resources and development for preschool, primary, secondary, Technical and Further Education (TAFE) or polytechnic teachers and administrators.",,1,"Provides educational leadership to teachers, principals and administrative staff of education institutions in the development and coordination of educational programs; Researches, develops, implements, reviews and evaluates educational and administrative policy; Applies for and manages funding for new educational programs; Builds relationships with institutions and key agencies; Advises on policy and procedures to staff and students; Consults with academic and administrative staff to formulate educational programs; Identifies and addresses present and future needs for student and staff development; Organises and conducts training for teachers in new programs and methods; Researches educational systems, and monitors and evaluates developments and trends",134412,Regional Education Manager,full,7
141499,Education Managers nec,,,This occupation group covers Education Managers not elsewhere classified.,,1,,134499,Education Managers nec,full,2
