onet_soc_code,title,job_zone,top_education,top_essential_skills,top_transferable_skills,top_knowledge,top_abilities,hot_technologies,in_demand_technologies,top_career_interests,top_specific_interest_areas,top_tasks,data_source
11-3013.00,Facilities Managers,3,Associate's Degree or other 2-year degree,Speaking; Active Listening; Critical Thinking; Monitoring; Reading Comprehension; Writing,Coordination; Social Perceptiveness; Judgment and Decision Making; Management of Personnel Resources; Complex Problem Solving; Time Management,Customer and Personal Service; Administration and Management; English Language; Public Safety and Security; Personnel and Human Resources; Mechanical,Information Ordering; Oral Comprehension; Oral Expression; Problem Sensitivity; Written Comprehension; Deductive Reasoning,Adobe Acrobat; Autodesk AutoCAD; Autodesk Revit; Google Docs; Google Workspace software; Intuit QuickBooks; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft Visio; Microsoft Word; Oracle PeopleSoft; Oracle Primavera Enterprise Project Portfolio Management; SAP software; Teradata Database; Yardi software,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,Second Interest High-Point; Enterprising; Conventional,Mechanics/Electronics; Engineering; Management/Administration; Construction/Woodwork; Transportation/Machine Operation,"Monitor the facility to ensure that it remains safe, secure, and well-maintained.; Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.; Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.; Plan, administer, and control budgets for contracts, equipment, and supplies.; Participate in architectural and engineering planning and design, including space and installation management.",O*NET
11-3013.01,Security Managers,4,Bachelor's Degree,Critical Thinking; Active Listening; Reading Comprehension; Monitoring; Speaking; Writing,Judgment and Decision Making; Complex Problem Solving; Social Perceptiveness; Coordination; Management of Personnel Resources; Management of Financial Resources,Public Safety and Security; English Language; Law and Government; Administration and Management; Customer and Personal Service; Personnel and Human Resources,Problem Sensitivity; Oral Expression; Deductive Reasoning; Inductive Reasoning; Oral Comprehension; Written Comprehension,Amazon Web Services AWS software; Facebook; Microsoft Access; Microsoft Azure software; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft Visio; Microsoft Word; Oracle PeopleSoft; SAP software,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; SAP software,Second Interest High-Point; Enterprising; Conventional,Law; Protective Service; Management/Administration; Mechanics/Electronics; Construction/Woodwork,"Develop budgets for security operations.; Identify, investigate, or resolve security breaches.; Plan, direct, or coordinate security activities to safeguard company employees, guests, or others on company property.; Direct or participate in emergency management and contingency planning.; Respond to medical emergencies, bomb threats, fire alarms, or intrusion alarms, following emergency response procedures.",O*NET
11-3021.00,Computer and Information Systems Managers,4,Bachelor's Degree,Critical Thinking; Active Listening; Reading Comprehension; Monitoring; Speaking; Writing,Judgment and Decision Making; Complex Problem Solving; Coordination; Management of Personnel Resources; Social Perceptiveness; Systems Analysis,Computers and Electronics; Customer and Personal Service; Administration and Management; Engineering and Technology; English Language; Personnel and Human Resources,Deductive Reasoning; Inductive Reasoning; Oral Comprehension; Oral Expression; Problem Sensitivity; Written Comprehension,Amazon Web Services AWS software; Apache Cassandra; Apache Hadoop; Apache Maven; Apache Tomcat; Apple macOS; Atlassian JIRA; C; C#; C++; Eclipse IDE; Extensible markup language XML; Google Analytics; Hypertext markup language HTML; IBM SPSS Statistics; JavaScript; Linux; Microsoft .NET Framework; Microsoft Access; Microsoft Active Server Pages ASP; Microsoft Azure software; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft SQL Server; Microsoft SQL Server Reporting Services SSRS; Microsoft Visio; Microsoft Visual Basic; Microsoft Visual Studio; Microsoft Windows Server; Microsoft Word; MongoDB; MySQL; Node.js; NoSQL; Oracle Database; Oracle Java; Oracle PeopleSoft; Oracle PL/SQL; Perl; PHP; PostgreSQL; Puppet; Python; R; Red Hat Enterprise Linux; SAP software; SAS; Shell script; Splunk Enterprise; Spring Framework; Structured query language SQL; Tableau; Teradata Database; The MathWorks MATLAB; UNIX,Amazon Web Services AWS software; Enterprise application integration EAI software; Microsoft Azure software,First Interest High-Point; Conventional; Enterprising,Business Initiatives; Information Technology; Management/Administration; Mechanics/Electronics; Construction/Woodwork,"Manage backup, security and user help systems.; Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.; Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.; Review project plans to plan and coordinate project activity.; Assign and review the work of systems analysts, programmers, and other computer-related workers.",O*NET
11-3031.00,Financial Managers,4,Bachelor's Degree,Active Listening; Critical Thinking; Reading Comprehension; Speaking; Monitoring; Writing,Complex Problem Solving; Coordination; Judgment and Decision Making; Management of Personnel Resources; Service Orientation; Social Perceptiveness,Customer and Personal Service; Administration and Management; Economics and Accounting; Mathematics; Administrative; Law and Government,Oral Comprehension; Oral Expression; Written Comprehension; Deductive Reasoning; Speech Clarity; Inductive Reasoning,Adobe Acrobat; Alteryx software; IBM SPSS Statistics; Intuit QuickBooks; Marketo Marketing Automation; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SharePoint; Microsoft SQL Server; Microsoft Visio; Microsoft Visual Basic; Microsoft Visual Basic for Applications VBA; Microsoft Windows; Microsoft Word; Oracle Database; Oracle PeopleSoft; Oracle Primavera Enterprise Project Portfolio Management; R; Salesforce software; SAP software; SAS; Structured query language SQL; Tableau; Teradata Database; Workday software; Yardi software,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; SAP software,Enterprising; Second Interest High-Point; Conventional,Office Work; Accounting; Business Initiatives; Management/Administration; Finance,"Establish procedures for custody or control of assets, records, loan collateral, or securities to ensure safekeeping.; Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.; Communicate with stockholders or other investors to provide information or to raise capital.; Oversee the flow of cash or financial instruments.; Develop or analyze information to assess the current or future financial status of firms.",O*NET
11-3031.01,Treasurers and Controllers,4,Bachelor's Degree,Active Listening; Critical Thinking; Mathematics; Reading Comprehension; Speaking; Active Learning,Complex Problem Solving; Judgment and Decision Making; Management of Financial Resources; Systems Evaluation; Systems Analysis; Time Management,Economics and Accounting; Administration and Management; Mathematics; English Language; Computers and Electronics; Administrative,Deductive Reasoning; Inductive Reasoning; Mathematical Reasoning; Near Vision; Number Facility; Oral Comprehension,Hypertext markup language HTML; Intuit QuickBooks; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft Word; Oracle PeopleSoft; Oracle Primavera Enterprise Project Portfolio Management; SAP software; Structured query language SQL; Yardi software,Intuit QuickBooks; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; SAP software,Conventional; Enterprising; First Interest High-Point,Office Work; Mathematics/Statistics; Business Initiatives; Accounting; Management/Administration,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.; Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.; Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.; Develop and maintain relationships with banking, insurance, and external accounting personnel to facilitate financial activities.; Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.",O*NET
11-3031.03,Investment Fund Managers,5,Master's Degree,Active Listening; Critical Thinking; Reading Comprehension; Speaking; Active Learning; Writing,Judgment and Decision Making; Complex Problem Solving; Systems Analysis; Systems Evaluation; Time Management; Coordination,Economics and Accounting; English Language; Mathematics; Customer and Personal Service; Administration and Management; Law and Government,Deductive Reasoning; Oral Comprehension; Oral Expression; Written Comprehension; Inductive Reasoning; Information Ordering,Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft Power BI; Microsoft PowerPoint; Microsoft Project; Microsoft Visio; Microsoft Word; SAP software; SAS; Structured query language SQL; Tableau,Microsoft Excel; Microsoft Office software; Microsoft PowerPoint,Enterprising; Second Interest High-Point; Conventional,Mathematics/Statistics; Business Initiatives; Management/Administration; Finance; Mechanics/Electronics,Manage investment funds to maximize return on client investments.; Select specific investments or investment mixes for purchase by an investment fund.; Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.; Select or direct the execution of trades.; Develop or implement fund investment policies or strategies.,O*NET
11-3051.00,Industrial Production Managers,4,High School Diploma or the equivalent (such as a GED),Critical Thinking; Monitoring; Speaking; Active Listening; Reading Comprehension; Learning Strategies,Coordination; Judgment and Decision Making; Management of Personnel Resources; Time Management; Systems Analysis; Complex Problem Solving,Production and Processing; Administration and Management; Customer and Personal Service; Education and Training; Mathematics; Personnel and Human Resources,Deductive Reasoning; Information Ordering; Oral Comprehension; Oral Expression; Problem Sensitivity; Written Comprehension,Adobe Acrobat; Adobe After Effects; Adobe InDesign; Adobe Photoshop; Autodesk AutoCAD; Intuit QuickBooks; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft Word; Oracle PeopleSoft; SAP software,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; SAP software,Enterprising; Second Interest High-Point; Conventional,Engineering; Business Initiatives; Management/Administration; Mechanics/Electronics; Construction/Woodwork,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.; Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.; Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.; Review operations and confer with technical or administrative staff to resolve production or processing problems.; Hire, train, evaluate, or discharge staff or resolve personnel grievances.",O*NET
11-3051.01,Quality Control Systems Managers,4,Bachelor's Degree,Reading Comprehension; Active Listening; Monitoring; Speaking; Writing; Critical Thinking,Judgment and Decision Making; Quality Control Analysis; Complex Problem Solving; Coordination; Systems Evaluation; Systems Analysis,Production and Processing; Education and Training; English Language; Chemistry; Customer and Personal Service; Administration and Management,Problem Sensitivity; Deductive Reasoning; Inductive Reasoning; Near Vision; Oral Comprehension; Oral Expression,Adobe Acrobat; Atlassian JIRA; Extensible markup language XML; Linux; Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Project; Microsoft SQL Server; Microsoft Visio; Microsoft Word; Oracle Java; SAP software; Selenium; Structured query language SQL,Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint,First Interest High-Point; Conventional; Enterprising,Engineering; Mathematics/Statistics; Management/Administration; Mechanics/Electronics; Construction/Woodwork,Stop production if serious product defects are present.; Review and update standard operating procedures or quality assurance manuals.; Monitor performance of quality control systems to ensure effectiveness and efficiency.; Review quality documentation necessary for regulatory submissions and inspections.; Analyze quality control test results and provide feedback and interpretation to production management or staff.,O*NET
11-3051.02,Geothermal Production Managers,3,Some College Courses,Critical Thinking; Monitoring; Reading Comprehension; Speaking; Active Listening; Writing,Coordination; Judgment and Decision Making; Complex Problem Solving; Management of Personnel Resources; Time Management; Social Perceptiveness,Mechanical; Administration and Management; Production and Processing; Public Safety and Security; Mathematics; Engineering and Technology,Oral Comprehension; Oral Expression; Deductive Reasoning; Problem Sensitivity; Inductive Reasoning; Speech Recognition,Microsoft Access; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft Word,,Second Interest High-Point; Realistic; Third Interest High-Point,,"Supervise employees in geothermal power plants or well fields.; Oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations.; Prepare environmental permit applications or compliance reports.; Negotiate interconnection agreements with other utilities.; Communicate geothermal plant conditions to employees.",O*NET
11-3051.03,Biofuels Production Managers,4,Bachelor's Degree,Critical Thinking; Reading Comprehension; Active Listening; Monitoring; Speaking; Writing,Management of Personnel Resources; Coordination; Judgment and Decision Making; Time Management; Complex Problem Solving; Social Perceptiveness,Production and Processing; Administration and Management; Mechanical; Chemistry; Engineering and Technology; Mathematics,Oral Comprehension; Oral Expression; Written Comprehension; Speech Clarity; Deductive Reasoning; Problem Sensitivity,Adobe Acrobat; Autodesk AutoCAD; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Microsoft Word,,Second Interest High-Point; Enterprising; Conventional,,"Supervise production employees in the manufacturing of biofuels, such as biodiesel or ethanol.; Manage operations at biofuels power generation facilities, including production, shipping, maintenance, or quality assurance activities.; Provide direction to employees to ensure compliance with biofuels plant safety, environmental, or operational standards and regulations.; Confer with technical and supervisory personnel to report or resolve conditions affecting biofuels plant safety, operational efficiency, and product quality.; Review logs, datasheets, or reports to ensure adequate production levels or to identify abnormalities with biofuels production equipment or processes.",O*NET
