onet_soc_code,title,task,category,original_task_id,original_task,date,domain_source,data_source
17-2051.01,Transportation Engineers,Develop plans for integration of drone technology into transportation systems for purposes such as delivery of goods or traffic monitoring.,New,,,05/2025,AI/SME,O*NET
17-2111.02,Fire-Prevention and Protection Engineers,Develop or modify building codes and fire codes.,New,,,08/2025,Occupational Expert,O*NET
17-2111.02,Fire-Prevention and Protection Engineers,"Perform testing on fire protection equipment or building features, such as fire doors or smoke control systems.",New,,,08/2025,Occupational Expert,O*NET
17-2111.02,Fire-Prevention and Protection Engineers,Review building plans to verify compliance with fire and building codes.,Revision,24004,Review building plans to verify compliance with fire code.,08/2025,Occupational Expert,O*NET
17-2112.01,Human Factors Engineers and Ergonomists,Assess systems to identify and quantify risk factors.,New,,,08/2024,Occupational Expert,O*NET
17-2121.00,Marine Engineers and Naval Architects,"Develop plans for safely drydocking vessels, including structural integrity, block loading, and stability.",New,,,08/2025,Occupational Expert,O*NET
17-2141.00,Mechanical Engineers,Investigate equipment failures or diagnose faulty operations and recommend or perform remedial actions.,Revision,20734,Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.,08/2024,Incumbent,O*NET
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Use drone technology for aerial surveys and inspections of mining sites to enhance safety and efficiency.,New,,,05/2025,AI/SME,O*NET
17-2161.00,Nuclear Engineers,"Recommend preventive measures to be taken in handling nuclear technology based on data obtained from operations monitoring, systematic analysis, or evaluation of test results.",Revision,5386,"Recommend preventive measures to be taken in the handling of nuclear technology, based on data obtained from operations monitoring or from evaluation of test results.",08/2024,Occupational Expert,O*NET
17-2171.00,Petroleum Engineers,Use drone technology for aerial surveying and monitoring of drilling sites.,New,,,05/2025,AI/SME,O*NET
17-2199.10,Wind Energy Engineers,Analyze meteorological data.,New,,,07/2012,Incumbent,O*NET
17-2199.10,Wind Energy Engineers,Design electrical interconnections.,New,,,07/2012,Incumbent,O*NET
17-2199.10,Wind Energy Engineers,Design wind turbine components.,New,,,07/2012,Incumbent,O*NET
17-2199.10,Wind Energy Engineers,Estimate energy production by analyzing wind data.,New,,,07/2012,Incumbent,O*NET
17-3011.00,Architectural and Civil Drafters,Use drone technology to capture aerial views and topographical data for civil engineering projects.,New,,,05/2025,AI/SME,O*NET
17-3013.00,Mechanical Drafters,Print three-dimensional (3D) parts or fixtures using 3D printing equipment to support research and development activities.,New,,,08/2026,Incumbent,O*NET
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,"Operate, test, and troubleshoot uncrewed aerial systems, commonly known as drones, to ensure optimal performance.",New,,,05/2025,AI/SME,O*NET
17-3022.00,Civil Engineering Technologists and Technicians,"Operate drones for site surveying and inspection, providing detailed aerial views of project sites.",New,,,05/2025,AI/SME,O*NET
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,"Program and calibrate drones for specific missions or tasks, ensuring proper functionality and performance.",New,,,05/2025,AI/SME,O*NET
17-3029.01,Non-Destructive Testing Specialists,"Operate drones for remote inspection of large or hard-to-reach structures, such as wind turbines, bridges, or tall buildings.",New,,,05/2025,AI/SME,O*NET
17-3031.00,Surveying and Mapping Technicians,Use drone technology to capture aerial images or videos for creating detailed and accurate maps.,New,,,05/2025,AI/SME,O*NET
17-3031.00,Surveying and Mapping Technicians,Write boundary or easement legal descriptions.,New,,,08/2026,Incumbent,O*NET
19-1012.00,Food Scientists and Technologists,Test processing equipment to ensure products are produced according to specifications.,New,,,08/2025,Occupational Expert,O*NET
19-1021.00,Biochemists and Biophysicists,Analyze biochemical or biophysical data.,New,,,08/2020,Occupational Expert,O*NET
19-1022.00,Microbiologists,"Perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection and interpret the results.",Revision,15213,"Monitor and perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection.",08/2024,Occupational Expert,O*NET
19-1023.00,Zoologists and Wildlife Biologists,"Use advanced technologies, such as GIS, remote sensing, and drone technology, for wildlife tracking, habitat mapping, and population studies.",New,,,05/2025,AI/SME,O*NET
19-1029.04,Biologists,Inventory and order lab supplies.,New,,,08/2025,Incumbent,O*NET
19-1041.00,Epidemiologists,Teach epidemiology to students in public health programs.,New,,,08/2023,Occupational Expert,O*NET
19-2011.00,Astronomers,Write and review scientific proposals and research papers.,Revision,20049,Review scientific proposals and research papers.,08/2024,Occupational Expert,O*NET
19-2032.00,Materials Scientists,"Research or design methods of processing, forming, and firing materials to develop products, such as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.",Revision,9094,"Research methods of processing, forming, and firing materials to develop such products as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.",08/2024,Occupational Expert,O*NET
19-2032.00,Materials Scientists,Review and select materials for products to meet product design and cost requirements.,New,,,08/2024,Occupational Expert,O*NET
19-2041.03,Industrial Ecologists,Conduct life cycle assessments of products.,New,,,08/2021,Occupational Expert,O*NET
19-2043.00,Hydrologists,Investigate the pathway of water contaminants through organisms in a food chain.,New,,,08/2026,Occupational Expert,O*NET
19-2099.01,Remote Sensing Scientists and Technologists,Develop protocols and procedures for planning and executing drone-based remote sensing missions to ensure they comply with standards and requirements.,New,,,05/2025,AI/SME,O*NET
19-3011.00,Economists,Construct and manage economic datasets.,New,,,08/2024,Occupational Expert,O*NET
19-3011.00,Economists,Present research at seminars and conferences.,New,,,08/2024,Occupational Expert,O*NET
19-3011.00,Economists,"Review documents written by others, such as referee reports.",Revision,23988,Review documents written by others.,08/2024,Occupational Expert,O*NET
19-3032.00,Industrial-Organizational Psychologists,Develop and administer surveys to employees of organizations.,New,,,08/2023,Occupational Expert,O*NET
19-3032.00,Industrial-Organizational Psychologists,Teach industrial-organizational psychology courses to undergraduate or graduate students.,New,,,08/2023,Occupational Expert,O*NET
19-3034.00,School Psychologists,Analyze schoolwide academic performance to determine students' needs.,New,,,08/2026,Occupational Expert,O*NET
19-3034.00,School Psychologists,Supervise and instruct students on internship assignments.,New,,,08/2026,Occupational Expert,O*NET
19-3039.03,Clinical Neuropsychologists,Provide feedback to patients and their families on the results of neuropsychological evaluations and recommendations.,New,,,08/2024,Occupational Expert,O*NET
19-3041.00,Sociologists,Mentor sociology students.,New,,,08/2023,Occupational Expert,O*NET
19-3041.00,Sociologists,Review sociological research and articles.,New,,,08/2023,Occupational Expert,O*NET
19-3091.00,Anthropologists and Archeologists,"Write, present, and publish research findings for a variety of specialized and general audiences.",Revision,22234,Write about and present research findings for a variety of specialized and general audiences.,08/2024,Occupational Expert,O*NET
19-3093.00,Historians,Coordinate artifact donations on behalf of a museum.,New,,,08/2025,Incumbent,O*NET
19-3093.00,Historians,Create and revise scripts for the tour guides.,New,,,08/2025,Incumbent,O*NET
19-3093.00,Historians,Write policies and procedures for archival collection care and research protocols.,New,,,08/2025,Incumbent,O*NET
19-4012.01,Precision Agriculture Technicians,Operate drone technology to capture aerial imagery and data for crop monitoring and analysis.,New,,,05/2025,AI/SME,O*NET
19-4051.02,Nuclear Monitoring Technicians,"Calibrate, maintain, and repair chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",Revision,7608,"Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",07/2014,Incumbent,O*NET
19-4051.02,Nuclear Monitoring Technicians,Document results from radiation and contamination surveys.,New,,,07/2014,Incumbent,O*NET
19-4051.02,Nuclear Monitoring Technicians,"Inspect, test, and maintain respiratory protection equipment.",New,,,07/2014,Incumbent,O*NET
19-4051.02,Nuclear Monitoring Technicians,Write radiological work permits.,New,,,07/2014,Incumbent,O*NET
19-4061.00,Social Science Research Assistants,Write grant proposals.,New,,,08/2019,Incumbent,O*NET
19-4071.00,Forest and Conservation Technicians,Develop contracts related to operations.,New,,,08/2018,Incumbent,O*NET
19-4071.00,Forest and Conservation Technicians,Monitor environmental conditions such as temperature or humidity.,New,,,08/2018,Incumbent,O*NET
19-4071.00,Forest and Conservation Technicians,"Operate and manage drone technology for aerial surveys and mapping, wildlife monitoring, and forest health assessments.",New,,,05/2025,AI/SME,O*NET
19-4071.00,Forest and Conservation Technicians,Write reports on forestry or conservation activities.,New,,,08/2018,Incumbent,O*NET
19-4092.00,Forensic Science Technicians,Enter data into databases.,New,,,08/2023,Incumbent,O*NET
19-4092.00,Forensic Science Technicians,Operate drones to capture aerial footage or photographs of crime scenes for further analysis.,New,,,05/2025,AI/SME,O*NET
19-4099.03,Remote Sensing Technicians,Operate remote sensing equipment on drones to collect data in areas that are difficult to access or require high-resolution imagery.,New,,,05/2025,AI/SME,O*NET
21-1013.00,Marriage and Family Therapists,Determine which family members or significant others should attend group therapy sessions.,New,,,08/2026,Occupational Expert,O*NET
21-1014.00,Mental Health Counselors,Guide clients in the development of skills or strategies for dealing with their problems and coping with triggering factors.,Revision,1593,Guide clients in the development of skills or strategies for dealing with their problems.,08/2025,Occupational Expert,O*NET
21-1014.00,Mental Health Counselors,"Respond to client communications by monitoring voicemail and email, returning phone calls, and making follow-up calls for missed appointments.",New,,,08/2025,Occupational Expert,O*NET
21-1022.00,Healthcare Social Workers,Conduct psychological assessment of clients.,New,,,08/2021,Occupational Expert,O*NET
21-1093.00,Social and Human Service Assistants,Teach parenting techniques to family members.,New,,,08/2020,Incumbent,O*NET
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Review new case law or changes in laws or regulations to stay current on legal precedent.,New,,,08/2026,Occupational Expert,O*NET
23-1023.00,"Judges, Magistrate Judges, and Magistrates",Issue search or arrest warrants.,Revision,21182,Issue arrest warrants.,08/2020,Incumbent,O*NET
23-2011.00,Paralegals and Legal Assistants,Manage attorneys' calendars and schedule meetings.,New,,,08/2024,Incumbent,O*NET
23-2011.00,Paralegals and Legal Assistants,"Request, review, and summarize relevant records for the cases.",New,,,08/2024,Incumbent,O*NET
25-1022.00,"Mathematical Science Teachers, Postsecondary",Hire adjunct faculty.,New,,,08/2019,Incumbent,O*NET
25-1042.00,"Biological Science Teachers, Postsecondary",Write letters of recommendation for students.,New,,,08/2019,Incumbent,O*NET
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Monitor research program budgets.,New,,,08/2020,Incumbent,O*NET
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, atmospheric thermodynamics, and physics.",Revision,5849,"Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, and atmospheric thermodynamics.",08/2019,Incumbent,O*NET
25-1054.00,"Physics Teachers, Postsecondary",Review articles to determine their suitability for publication.,New,,,08/2019,Incumbent,O*NET
25-1066.00,"Psychology Teachers, Postsecondary",Mentor other faculty members.,New,,,08/2019,Incumbent,O*NET
25-1067.00,"Sociology Teachers, Postsecondary",Give presentations to community groups.,New,,,08/2019,Incumbent,O*NET
25-1067.00,"Sociology Teachers, Postsecondary",Review manuscripts.,New,,,08/2019,Incumbent,O*NET
25-1067.00,"Sociology Teachers, Postsecondary",Write letters of recommendation for students.,New,,,08/2019,Incumbent,O*NET
25-1081.00,"Education Teachers, Postsecondary",Deliver presentations at professional conferences.,New,,,08/2019,Incumbent,O*NET
25-1082.00,"Library Science Teachers, Postsecondary",Serve as a mentor.,New,,,08/2019,Incumbent,O*NET
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Direct theater productions.,New,,,08/2019,Incumbent,O*NET
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Mentor students.,New,,,08/2019,Incumbent,O*NET
25-1125.00,"History Teachers, Postsecondary",Evaluate faculty members.,New,,,08/2019,Incumbent,O*NET
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Monitor department budgets.,New,,,08/2019,Incumbent,O*NET
25-2057.00,"Special Education Teachers, Middle School","Track students' progress on computer-based programs, such as reading fluency and comprehension.",New,,,08/2025,Incumbent,O*NET
25-2058.00,"Special Education Teachers, Secondary School",Monitor students using personal electronics or school-issued technology.,New,,,08/2025,Incumbent,O*NET
25-2059.01,Adapted Physical Education Specialists,Meet with general physical education teachers to exchange best practices and methods for adapted physical education services.,New,,,08/2026,Occupational Expert,O*NET
25-3031.00,"Substitute Teachers, Short-Term",Provide teachers with notes summarizing the day's activities and feedback on any issues or events that occurred.,New,,,08/2025,Incumbent,O*NET
25-4011.00,Archivists,Write grants and apply for funding to support archival work.,New,,,08/2024,Occupational Expert,O*NET
25-4013.00,Museum Technicians and Conservators,Give presentations on conservation and preservation topics to educate colleagues or the public.,New,,,08/2026,Occupational Expert,O*NET
25-4013.00,Museum Technicians and Conservators,Seek guidance from representatives of relevant communities on appropriate handling and storage of items.,New,,,08/2026,Occupational Expert,O*NET
25-4031.00,Library Technicians,Open and close the library.,New,,,07/2017,Incumbent,O*NET
25-9044.00,"Teaching Assistants, Postsecondary",Correspond with students through email to address their questions and concerns.,New,,,07/2016,Incumbent,O*NET
27-1025.00,Interior Designers,"Review contractor bids to subcontract fabrication, installation, and arrangement of carpeting, fixtures, accessories, draperies, paint and wall coverings, art work, furniture, and related items.",Revision,1739,"Subcontract fabrication, installation, and arrangement of carpeting, fixtures, accessories, draperies, paint and wall coverings, art work, furniture, and related items.",08/2024,Occupational Expert,O*NET
27-2011.00,Actors,Create self-recordings to audition for roles.,New,,,08/2026,Occupational Expert,O*NET
27-2012.05,Media Technical Directors/Managers,Coordinate the use of drone technology for aerial filming and photography.,New,,,05/2025,AI/SME,O*NET
27-2032.00,Choreographers,Plan and direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.,Revision,11028,Direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.,08/2024,Occupational Expert,O*NET
27-2091.00,"Disc Jockeys, Except Radio",Write announcement scripts for events.,New,,,08/2026,Occupational Expert,O*NET
27-3092.00,Court Reporters and Simultaneous Captioners,Perform live captioning services for meetings or events.,New,,,08/2026,Occupational Expert,O*NET
27-3092.00,Court Reporters and Simultaneous Captioners,Transmit real-time feeds to judges and attorneys during proceedings.,New,,,08/2026,Occupational Expert,O*NET
27-4011.00,Audio and Video Technicians,Operate drones for aerial videography and photography during live events or for pre-recorded material.,New,,,05/2025,AI/SME,O*NET
27-4011.00,Audio and Video Technicians,Purchase audio or video equipment.,New,,,08/2018,Incumbent,O*NET
27-4021.00,Photographers,Engage in research to learn technological developments and techniques or to develop new photographic procedures and materials.,Revision,9363,Engage in research to develop new photographic procedures and materials.,08/2021,Occupational Expert,O*NET
27-4021.00,Photographers,"Operate drones to capture aerial photographs and videos, following all regulatory guidelines.",New,,,05/2025,AI/SME,O*NET
27-4031.00,"Camera Operators, Television, Video, and Film","Operate drones to capture aerial or unique angle footage for film, television, or video productions.",New,,,05/2025,AI/SME,O*NET
27-4032.00,Film and Video Editors,Write scripts.,New,,,08/2020,Incumbent,O*NET
29-1021.00,"Dentists, General",Place or restore dental implants.,New,,,08/2026,Incumbent,O*NET
29-1022.00,Oral and Maxillofacial Surgeons,"Read and evaluate imaging, such as computed tomography (CT) and magnetic resonance imaging (MRI), for diagnosis and treatment.",New,,,08/2026,Occupational Expert,O*NET
29-1024.00,Prosthodontists,Consult with patients about treatment options.,New,,,08/2024,Incumbent,O*NET
29-1024.00,Prosthodontists,Create treatment plans for patients.,New,,,08/2024,Incumbent,O*NET
29-1071.00,Physician Assistants,Refer patients to other healthcare providers.,New,,,08/2021,Occupational Expert,O*NET
29-1122.00,Occupational Therapists,Recommend adaptive equipment to individuals to increase independence in daily living activities.,New,,,08/2021,Occupational Expert,O*NET
29-1128.00,Exercise Physiologists,Manage patient clinical symptoms during stress testing protocols.,New,,,08/2026,Occupational Expert,O*NET
29-1128.00,Exercise Physiologists,Measure oxygen consumption or lung functioning using spirometers or pulse oximeters.,Revision,19197,"Measure oxygen consumption or lung functioning, using spirometers.",08/2026,Occupational Expert,O*NET
29-1128.00,Exercise Physiologists,"Monitor and assess patient physiological responses by measuring vital signs, including blood pressure, heart rate, electrocardiogram (ECG) activity, and lung sounds, during rest, exercise, and postexercise stress testing.",New,,,08/2026,Occupational Expert,O*NET
29-1129.01,Art Therapists,"Document and securely store client artwork in compliance with privacy laws, ethical guidelines, and facility requirements.",New,,,08/2026,Occupational Expert,O*NET
29-1129.01,Art Therapists,Provide crisis intervention by contacting emergency personnel and facilitating treatment coordination during client emergencies.,New,,,08/2026,Occupational Expert,O*NET
29-1141.02,Advanced Practice Psychiatric Nurses,Mentor nursing students.,New,,,08/2023,Occupational Expert,O*NET
29-1141.04,Clinical Nurse Specialists,Develop and evaluate work processes based on evidence-based standards.,New,,,08/2025,Occupational Expert,O*NET
29-1161.00,Nurse Midwives,Evaluate mental health of patients.,New,,,08/2021,Occupational Expert,O*NET
29-1161.00,Nurse Midwives,Screen patients for gynecologic conditions such as infections.,New,,,08/2021,Occupational Expert,O*NET
29-1214.00,Emergency Medicine Physicians,Consult and direct other medical personnel on patient care.,New,,,08/2025,Occupational Expert,O*NET
29-1214.00,Emergency Medicine Physicians,Process patient transfers to and from other hospitals.,New,,,08/2025,Occupational Expert,O*NET
29-1223.00,Psychiatrists,Perform mental health evaluations to provide information to courts of law on patients' mental states.,New,,,07/2014,Incumbent,O*NET
29-1223.00,Psychiatrists,"Teach and supervise medical students, residents, and nurse practitioners.",New,,,08/2026,Incumbent,O*NET
29-1229.04,Physical Medicine and Rehabilitation Physicians,"Perform diagnostic and therapeutic guided interventions, including injections and ablations.",New,,,08/2026,Occupational Expert,O*NET
29-1229.06,Sports Medicine Physicians,"Perform diagnostic and therapeutic musculoskeletal procedures by using ultrasound guidance to identify conditions and conduct interventions, such as musculoskeletal injections.",New,,,08/2026,Occupational Expert,O*NET
29-1229.06,Sports Medicine Physicians,Teach and supervise medical students and physicians in training.,New,,,08/2026,Occupational Expert,O*NET
29-2011.00,Medical and Clinical Laboratory Technologists,Conduct blood typing and antibody screening.,New,,,08/2025,Incumbent,O*NET
29-2011.04,Histotechnologists,"Cut sections of body tissues for microscopic examination, using microtomes or cryostats.",Revision,22780,"Cut sections of body tissues for microscopic examination, using microtomes.",08/2024,Occupational Expert,O*NET
29-2011.04,Histotechnologists,Select and maintain controls for stains.,New,,,08/2024,Occupational Expert,O*NET
29-2012.01,Histology Technicians,Load slides onto staining equipment.,New,,,08/2025,Occupational Expert,O*NET
29-2031.00,Cardiovascular Technologists and Technicians,"Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.",Revision,15234,"Perform general administrative tasks, such as scheduling appointments or ordering supplies or equipment.",07/2014,Incumbent,O*NET
29-2033.00,Nuclear Medicine Technologists,Schedule patients for nuclear medicine exams and procedures.,New,,,07/2013,Incumbent,O*NET
29-2043.00,Paramedics,"Lift and move patients using assistive devices, such as stretchers and stairchairs.",New,,,08/2026,Occupational Expert,O*NET
