onet_soc_code,title,scale_id,scale_name,category,category_description,share_pct,date,domain_source,data_source
51-9071.00,Jewelers and Precious Stone and Metal Workers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),25.34,08/2025,Incumbent,O*NET
51-9071.06,Gem and Diamond Workers,RQ,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,20.15,08/2026,Incumbent,O*NET
51-9081.00,Dental Laboratory Technicians,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),51.74,08/2022,Incumbent,O*NET
51-9082.00,Medical Appliance Technicians,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),70.5,08/2026,Incumbent,O*NET
51-9083.00,Ophthalmic Laboratory Technicians,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),56.4,07/2015,Incumbent,O*NET
51-9111.00,Packaging and Filling Machine Operators and Tenders,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),79.69,07/2017,Incumbent,O*NET
51-9123.00,"Painting, Coating, and Decorating Workers",RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,59.01,08/2019,Incumbent,O*NET
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),62.67,08/2022,Incumbent,O*NET
51-9141.00,Semiconductor Processing Technicians,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),83.85,12/2006,Incumbent,O*NET
51-9151.00,Photographic Process Workers and Processing Machine Operators,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),84.07,07/2017,Incumbent,O*NET
51-9161.00,Computer Numerically Controlled Tool Operators,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),48.24,08/2023,Incumbent,O*NET
51-9162.00,Computer Numerically Controlled Tool Programmers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),32.77,08/2025,Incumbent,O*NET
51-9191.00,Adhesive Bonding Machine Operators and Tenders,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),72.61,07/2015,Incumbent,O*NET
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",RL,Required Level Of Education (Categories 1-12),4,Some College Courses,3.89,07/2017,Incumbent,O*NET
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),7.31,07/2017,Incumbent,O*NET
51-9194.00,Etchers and Engravers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),53.86,07/2017,Incumbent,O*NET
51-9195.03,"Stone Cutters and Carvers, Manufacturing",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),65.55,07/2015,Incumbent,O*NET
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),27.27,08/2026,Occupational Expert,O*NET
51-9195.05,"Potters, Manufacturing",RL,Required Level Of Education (Categories 1-12),4,Some College Courses,30.9,08/2020,Incumbent,O*NET
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),69.35,08/2018,Incumbent,O*NET
51-9197.00,Tire Builders,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),66.45,08/2020,Incumbent,O*NET
51-9198.00,Helpers--Production Workers,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,34.56,08/2026,Incumbent,O*NET
53-1041.00,Aircraft Cargo Handling Supervisors,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),64.06,07/2016,Incumbent,O*NET
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),35.2,08/2024,Incumbent,O*NET
53-1042.01,Recycling Coordinators,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),47.06,07/2014,Incumbent,O*NET
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),29.86,08/2023,Incumbent,O*NET
53-1044.00,First-Line Supervisors of Passenger Attendants,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),32.89,08/2026,Incumbent,O*NET
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",RL,Required Level Of Education (Categories 1-12),6,Bachelor's Degree,61.02,08/2021,Incumbent,O*NET
53-2012.00,Commercial Pilots,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),28.63,08/2024,Incumbent,O*NET
53-2021.00,Air Traffic Controllers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),36.14,07/2014,Incumbent,O*NET
53-2022.00,Airfield Operations Specialists,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,14.7,08/2021,Incumbent,O*NET
53-2031.00,Flight Attendants,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),70.27,08/2021,Incumbent,O*NET
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",RQ,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,36.47,08/2026,Incumbent,O*NET
53-3031.00,Driver/Sales Workers,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,0.44,08/2020,Incumbent,O*NET
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),54.34,08/2022,Incumbent,O*NET
53-3033.00,Light Truck Drivers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),73.97,08/2023,Incumbent,O*NET
53-3051.00,"Bus Drivers, School",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),59.27,08/2025,Incumbent,O*NET
53-3052.00,"Bus Drivers, Transit and Intercity",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),83.83,08/2018,Incumbent,O*NET
53-3053.00,Shuttle Drivers and Chauffeurs,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),56.23,08/2025,Incumbent,O*NET
53-4011.00,Locomotive Engineers,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),64.24,08/2026,Incumbent,O*NET
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),82.54,08/2021,Incumbent,O*NET
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),86.98,08/2026,Incumbent,O*NET
53-4031.00,Railroad Conductors and Yardmasters,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),85.64,07/2013,Incumbent,O*NET
53-4041.00,Subway and Streetcar Operators,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),86.52,08/2021,Incumbent,O*NET
53-5011.00,Sailors and Marine Oilers,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),37.17,08/2026,Incumbent,O*NET
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),41.98,08/2022,Incumbent,O*NET
53-5022.00,Motorboat Operators,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),39.74,08/2023,Incumbent,O*NET
53-5031.00,Ship Engineers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),47.95,08/2024,Incumbent,O*NET
53-6011.00,Bridge and Lock Tenders,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),65.0,08/2020,Occupational Expert,O*NET
53-6021.00,Parking Attendants,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),60.75,07/2015,Incumbent,O*NET
53-6031.00,Automotive and Watercraft Service Attendants,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),58.62,07/2016,Incumbent,O*NET
53-6032.00,Aircraft Service Attendants,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),76.55,08/2026,Incumbent,O*NET
53-6041.00,Traffic Technicians,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),42.94,07/2016,Incumbent,O*NET
53-6051.01,Aviation Inspectors,RL,Required Level Of Education (Categories 1-12),5,Associate's Degree or other 2-year degree,33.65,08/2021,Incumbent,O*NET
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),57.78,07/2015,Incumbent,O*NET
53-6061.00,Passenger Attendants,RQ,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,7.61,08/2026,Incumbent,O*NET
53-7011.00,Conveyor Operators and Tenders,RL,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,70.04,07/2017,Incumbent,O*NET
53-7021.00,Crane and Tower Operators,RL,Required Level Of Education (Categories 1-12),3,Post-Secondary Certificate,60.63,07/2015,Incumbent,O*NET
53-7031.00,Dredge Operators,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),79.97,06/2008,Incumbent,O*NET
53-7041.00,Hoist and Winch Operators,RQ,Required Level Of Education (Categories 1-12),1,Less than a High School Diploma,7.63,08/2026,Incumbent,O*NET
53-7051.00,Industrial Truck and Tractor Operators,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,4.05,08/2021,Incumbent,O*NET
53-7061.00,Cleaners of Vehicles and Equipment,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),54.02,08/2022,Incumbent,O*NET
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",RL,Required Level Of Education (Categories 1-12),4,Some College Courses,0.58,08/2024,Incumbent,O*NET
53-7062.04,Recycling and Reclamation Workers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),74.12,07/2012,Incumbent,O*NET
53-7063.00,Machine Feeders and Offbearers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),72.98,07/2016,Incumbent,O*NET
53-7064.00,"Packers and Packagers, Hand",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),53.78,08/2020,Incumbent,O*NET
53-7065.00,Stockers and Order Fillers,RQ,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),78.01,08/2026,Incumbent,O*NET
53-7071.00,Gas Compressor and Gas Pumping Station Operators,RL,Required Level Of Education (Categories 1-12),4,Some College Courses,11.06,07/2017,Incumbent,O*NET
53-7072.00,"Pump Operators, Except Wellhead Pumpers",RL,Required Level Of Education (Categories 1-12),4,Some College Courses,8.48,08/2021,Incumbent,O*NET
53-7073.00,Wellhead Pumpers,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),80.46,08/2019,Incumbent,O*NET
53-7081.00,Refuse and Recyclable Material Collectors,RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),81.47,08/2023,Incumbent,O*NET
53-7121.00,"Tank Car, Truck, and Ship Loaders",RL,Required Level Of Education (Categories 1-12),2,High School Diploma or the equivalent (such as a GED),81.42,08/2019,Incumbent,O*NET
